"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUPRC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUPRC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUPRC (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUPRC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUPRC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUPRC (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUPRC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUPRC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUPRC (DiBS)__MAX"
"1","1","1","1","0.9081349206349207","0.9081349206349207","0.9081349206349207","0.590827922077922","0.590827922077922","0.590827922077922"
"2","0.9027777777777778","0.9027777777777778","0.9027777777777778","0.6471560846560847","0.6471560846560847","0.6471560846560847","0.41185666185666187","0.41185666185666187","0.41185666185666187"
"3","0.8772222222222222","0.8772222222222222","0.8772222222222222","0.85","0.85","0.85","0.7447564935064934","0.7447564935064934","0.7447564935064934"
"4","0.9791666666666666","0.9791666666666666","0.9791666666666666","0.7714646464646464","0.7714646464646464","0.7714646464646464","1","1","1"
"5","0.9375","0.9375","0.9375","0.8234126984126984","0.8234126984126984","0.8234126984126984","0.5543831168831169","0.5543831168831169","0.5543831168831169"
"6","1","1","1","0.9791666666666667","0.9791666666666667","0.9791666666666667","0.7569444444444443","0.7569444444444443","0.7569444444444443"
"7","0.9742063492063491","0.9742063492063491","0.9742063492063491","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.41712962962962963","0.41712962962962963","0.41712962962962963"
"8","0.861111111111111","0.861111111111111","0.861111111111111","0.6765873015873015","0.6765873015873015","0.6765873015873015","0.7898989898989899","0.7898989898989899","0.7898989898989899"
"9","1","1","1","0.5871212121212122","0.5871212121212122","0.5871212121212122","0.9761904761904763","0.9761904761904763","0.9761904761904763"
"10","0.9880952380952381","0.9880952380952381","0.9880952380952381","0.8581349206349206","0.8581349206349206","0.8581349206349206","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"11","0.9527777777777778","0.9527777777777778","0.9527777777777778","0.8989898989898991","0.8989898989898991","0.8989898989898991","0.587037037037037","0.587037037037037","0.587037037037037"
"12","0.9761904761904762","0.9761904761904762","0.9761904761904762","0.8873015873015873","0.8873015873015873","0.8873015873015873","0.8748015873015873","0.8748015873015873","0.8748015873015873"
"13","0.9652777777777777","0.9652777777777777","0.9652777777777777","0.9484126984126984","0.9484126984126984","0.9484126984126984","0.8111111111111111","0.8111111111111111","0.8111111111111111"
"14","0.8506944444444444","0.8506944444444444","0.8506944444444444","0.8119047619047619","0.8119047619047619","0.8119047619047619","0.5815656565656565","0.5815656565656565","0.5815656565656565"
"15","0.8763888888888889","0.8763888888888889","0.8763888888888889","0.5152777777777777","0.5152777777777777","0.5152777777777777","0.5864598364598365","0.5864598364598365","0.5864598364598365"
"16","0.873015873015873","0.873015873015873","0.873015873015873","0.6289682539682541","0.6289682539682541","0.6289682539682541","0.6214646464646465","0.6214646464646465","0.6214646464646465"
"17","0.9215277777777778","0.9215277777777778","0.9215277777777778","0.9553571428571428","0.9553571428571428","0.9553571428571428","1","1","1"
"18","0.6706349206349206","0.6706349206349206","0.6706349206349206","0.7479166666666667","0.7479166666666667","0.7479166666666667","0.6493055555555556","0.6493055555555556","0.6493055555555556"
"19","0.5857142857142857","0.5857142857142857","0.5857142857142857","0.8648809523809524","0.8648809523809524","0.8648809523809524","0.42329545454545453","0.42329545454545453","0.42329545454545453"
"20","1","1","1","1","1","1","0.8819444444444444","0.8819444444444444","0.8819444444444444"
"21","0.9603174603174603","0.9603174603174603","0.9603174603174603","0.9553571428571429","0.9553571428571429","0.9553571428571429","0.8759920634920635","0.8759920634920635","0.8759920634920635"
"22","0.8185185185185185","0.8185185185185185","0.8185185185185185","0.5882936507936508","0.5882936507936508","0.5882936507936508","0.5633116883116883","0.5633116883116883","0.5633116883116883"
"23","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.7728174603174602","0.7728174603174602","0.7728174603174602"
"24","0.8426587301587302","0.8426587301587302","0.8426587301587302","0.7457190957190957","0.7457190957190957","0.7457190957190957","0.8551767676767676","0.8551767676767676","0.8551767676767676"
"25","0.8944444444444445","0.8944444444444445","0.8944444444444445","0.7027777777777777","0.7027777777777777","0.7027777777777777","0.6565656565656566","0.6565656565656566","0.6565656565656566"
"26","0.8396825396825396","0.8396825396825396","0.8396825396825396","0.9428571428571428","0.9428571428571428","0.9428571428571428","0.5708333333333333","0.5708333333333333","0.5708333333333333"
"27","1","1","1","0.9583333333333333","0.9583333333333333","0.9583333333333333","0.5113636363636364","0.5113636363636364","0.5113636363636364"
"28","1","1","1","0.8611111111111112","0.8611111111111112","0.8611111111111112","0.6823412698412697","0.6823412698412697","0.6823412698412697"
"29","0.9742063492063491","0.9742063492063491","0.9742063492063491","0.9027777777777777","0.9027777777777777","0.9027777777777777","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"30","0.85","0.85","0.85","0.8069444444444444","0.8069444444444444","0.8069444444444444","0.4625","0.4625","0.4625"
"31","0.8492063492063491","0.8492063492063491","0.8492063492063491","0.8861111111111112","0.8861111111111112","0.8861111111111112","0.5734126984126985","0.5734126984126985","0.5734126984126985"
"32","0.9250841750841751","0.9250841750841751","0.9250841750841751","0.9652777777777778","0.9652777777777778","0.9652777777777778","0.8912698412698412","0.8912698412698412","0.8912698412698412"
"33","0.9023809523809524","0.9023809523809524","0.9023809523809524","0.6645833333333333","0.6645833333333333","0.6645833333333333","0.4898989898989899","0.4898989898989899","0.4898989898989899"
"34","0.9314285714285714","0.9314285714285714","0.9314285714285714","0.8861111111111113","0.8861111111111113","0.8861111111111113","0.4732539682539682","0.4732539682539682","0.4732539682539682"
"35","0.8491071428571428","0.8491071428571428","0.8491071428571428","0.9527777777777778","0.9527777777777778","0.9527777777777778","0.9027777777777778","0.9027777777777778","0.9027777777777778"
"36","0.9742063492063492","0.9742063492063492","0.9742063492063492","0.9791666666666667","0.9791666666666667","0.9791666666666667","0.3656896344396344","0.3656896344396344","0.3656896344396344"
"37","0.7176587301587302","0.7176587301587302","0.7176587301587302","0.9603174603174602","0.9603174603174602","0.9603174603174602","0.8888888888888888","0.8888888888888888","0.8888888888888888"
"38","0.9017857142857142","0.9017857142857142","0.9017857142857142","0.7991582491582492","0.7991582491582492","0.7991582491582492","0.881547619047619","0.881547619047619","0.881547619047619"
"39","0.9269841269841269","0.9269841269841269","0.9269841269841269","0.9277777777777778","0.9277777777777778","0.9277777777777778","0.6273809523809524","0.6273809523809524","0.6273809523809524"
"40","0.7721560846560845","0.7721560846560845","0.7721560846560845","0.8419823232323232","0.8419823232323232","0.8419823232323232","0.7035714285714285","0.7035714285714285","0.7035714285714285"
"41","0.8845238095238095","0.8845238095238095","0.8845238095238095","0.9123015873015873","0.9123015873015873","0.9123015873015873","0.8845238095238096","0.8845238095238096","0.8845238095238096"
"42","0.799404761904762","0.799404761904762","0.799404761904762","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.6938492063492063","0.6938492063492063","0.6938492063492063"
"43","0.9007936507936507","0.9007936507936507","0.9007936507936507","0.6537037037037037","0.6537037037037037","0.6537037037037037","1","1","1"
"44","1","1","1","0.676948051948052","0.676948051948052","0.676948051948052","0.9464285714285714","0.9464285714285714","0.9464285714285714"
"45","0.867361111111111","0.867361111111111","0.867361111111111","1","1","1","1","1","1"
"46","0.5594907407407408","0.5594907407407408","0.5594907407407408","0.6855008417508417","0.6855008417508417","0.6855008417508417","0.31449915824915825","0.31449915824915825","0.31449915824915825"
"47","0.9761904761904762","0.9761904761904762","0.9761904761904762","0.7378968253968253","0.7378968253968253","0.7378968253968253","0.9275793650793651","0.9275793650793651","0.9275793650793651"
"48","1","1","1","0.9513888888888888","0.9513888888888888","0.9513888888888888","0.9464285714285715","0.9464285714285715","0.9464285714285715"
"49","1","1","1","0.8378787878787879","0.8378787878787879","0.8378787878787879","0.7465277777777778","0.7465277777777778","0.7465277777777778"
"50","0.8570286195286195","0.8570286195286195","0.8570286195286195","0.7658730158730158","0.7658730158730158","0.7658730158730158","0.6763227513227513","0.6763227513227513","0.6763227513227513"
"51","0.745436507936508","0.745436507936508","0.745436507936508","0.6246031746031746","0.6246031746031746","0.6246031746031746","0.7128156565656565","0.7128156565656565","0.7128156565656565"
"52","0.9761904761904762","0.9761904761904762","0.9761904761904762","0.9583333333333333","0.9583333333333333","0.9583333333333333","0.9583333333333334","0.9583333333333334","0.9583333333333334"
"53","0.9880952380952381","0.9880952380952381","0.9880952380952381","0.9742063492063491","0.9742063492063491","0.9742063492063491","0.8930555555555556","0.8930555555555556","0.8930555555555556"
"54","0.9880952380952381","0.9880952380952381","0.9880952380952381","0.4568783068783069","0.4568783068783069","0.4568783068783069","0.7888888888888889","0.7888888888888889","0.7888888888888889"
"55","1","1","1","0.8162698412698413","0.8162698412698413","0.8162698412698413","0.6388888888888888","0.6388888888888888","0.6388888888888888"
"56","0.6805555555555556","0.6805555555555556","0.6805555555555556","0.9553571428571429","0.9553571428571429","0.9553571428571429","0.9484126984126984","0.9484126984126984","0.9484126984126984"
"57","0.6567460317460317","0.6567460317460317","0.6567460317460317","0.5729166666666666","0.5729166666666666","0.5729166666666666","0.42971380471380477","0.42971380471380477","0.42971380471380477"
"58","0.8839285714285714","0.8839285714285714","0.8839285714285714","1","1","1","0.8616071428571428","0.8616071428571428","0.8616071428571428"
"59","0.9880952380952381","0.9880952380952381","0.9880952380952381","0.6214646464646465","0.6214646464646465","0.6214646464646465","0.919047619047619","0.919047619047619","0.919047619047619"
"60","0.8015061327561328","0.8015061327561328","0.8015061327561328","0.8684523809523809","0.8684523809523809","0.8684523809523809","0.7301587301587302","0.7301587301587302","0.7301587301587302"
"61","0.9742063492063491","0.9742063492063491","0.9742063492063491","0.8273809523809523","0.8273809523809523","0.8273809523809523","0.8166185666185666","0.8166185666185666","0.8166185666185666"
"62","0.9380952380952381","0.9380952380952381","0.9380952380952381","0.85","0.85","0.85","0.7045833333333333","0.7045833333333333","0.7045833333333333"
"63","0.5760317460317459","0.5760317460317459","0.5760317460317459","0.7301190476190476","0.7301190476190476","0.7301190476190476","0.7265656565656566","0.7265656565656566","0.7265656565656566"
"64","0.8452380952380952","0.8452380952380952","0.8452380952380952","0.8061688311688312","0.8061688311688312","0.8061688311688312","0.7093434343434343","0.7093434343434343","0.7093434343434343"
"65","0.9742063492063491","0.9742063492063491","0.9742063492063491","0.9083333333333333","0.9083333333333333","0.9083333333333333","0.8240740740740741","0.8240740740740741","0.8240740740740741"
"66","0.9345238095238094","0.9345238095238094","0.9345238095238094","0.7479166666666667","0.7479166666666667","0.7479166666666667","0.9642857142857143","0.9642857142857143","0.9642857142857143"
"67","0.9742063492063491","0.9742063492063491","0.9742063492063491","0.5592592592592592","0.5592592592592592","0.5592592592592592","0.6003787878787878","0.6003787878787878","0.6003787878787878"
"68","0.9428571428571428","0.9428571428571428","0.9428571428571428","0.9761904761904763","0.9761904761904763","0.9761904761904763","0.8763888888888889","0.8763888888888889","0.8763888888888889"
"69","0.9880952380952381","0.9880952380952381","0.9880952380952381","0.6488756613756614","0.6488756613756614","0.6488756613756614","0.6607142857142856","0.6607142857142856","0.6607142857142856"
"70","0.9436507936507936","0.9436507936507936","0.9436507936507936","1","1","1","1","1","1"
"71","0.8763888888888889","0.8763888888888889","0.8763888888888889","0.5984126984126983","0.5984126984126983","0.5984126984126983","0.4906204906204906","0.4906204906204906","0.4906204906204906"
"72","0.8601190476190477","0.8601190476190477","0.8601190476190477","0.8218253968253968","0.8218253968253968","0.8218253968253968","0.625","0.625","0.625"
"73","0.43333333333333335","0.43333333333333335","0.43333333333333335","0.40428571428571425","0.40428571428571425","0.40428571428571425","0.4673809523809524","0.4673809523809524","0.4673809523809524"
"74","0.9428571428571428","0.9428571428571428","0.9428571428571428","0.9409722222222221","0.9409722222222221","0.9409722222222221","0.43865740740740744","0.43865740740740744","0.43865740740740744"
"75","0.7571428571428571","0.7571428571428571","0.7571428571428571","0.8541666666666666","0.8541666666666666","0.8541666666666666","0.38703703703703707","0.38703703703703707","0.38703703703703707"
"76","0.89375","0.89375","0.89375","0.8652777777777777","0.8652777777777777","0.8652777777777777","0.7393849206349206","0.7393849206349206","0.7393849206349206"
"77","0.9761904761904762","0.9761904761904762","0.9761904761904762","0.6815476190476191","0.6815476190476191","0.6815476190476191","0.8226190476190476","0.8226190476190476","0.8226190476190476"
"78","0.9428571428571428","0.9428571428571428","0.9428571428571428","0.6666666666666667","0.6666666666666667","0.6666666666666667","0.6753968253968254","0.6753968253968254","0.6753968253968254"
"79","0.9761904761904763","0.9761904761904763","0.9761904761904763","0.721626984126984","0.721626984126984","0.721626984126984","0.9325396825396824","0.9325396825396824","0.9325396825396824"
"80","0.7666666666666666","0.7666666666666666","0.7666666666666666","0.751984126984127","0.751984126984127","0.751984126984127","0.8579365079365079","0.8579365079365079","0.8579365079365079"
"81","0.8777777777777778","0.8777777777777778","0.8777777777777778","0.780952380952381","0.780952380952381","0.780952380952381","0.4586820586820587","0.4586820586820587","0.4586820586820587"
"82","0.6686026936026935","0.6686026936026935","0.6686026936026935","0.8500000000000001","0.8500000000000001","0.8500000000000001","0.9275793650793651","0.9275793650793651","0.9275793650793651"
"83","1","1","1","0.7503968253968254","0.7503968253968254","0.7503968253968254","0.3983164983164983","0.3983164983164983","0.3983164983164983"
"84","0.8667508417508417","0.8667508417508417","0.8667508417508417","0.7628787878787879","0.7628787878787879","0.7628787878787879","0.47500000000000003","0.47500000000000003","0.47500000000000003"
"85","1","1","1","0.9277777777777778","0.9277777777777778","0.9277777777777778","0.9761904761904762","0.9761904761904762","0.9761904761904762"
"86","0.8555555555555555","0.8555555555555555","0.8555555555555555","0.9652777777777777","0.9652777777777777","0.9652777777777777","0.9464285714285715","0.9464285714285715","0.9464285714285715"
"87","0.9880952380952381","0.9880952380952381","0.9880952380952381","0.5746031746031746","0.5746031746031746","0.5746031746031746","0.8487584175084175","0.8487584175084175","0.8487584175084175"
"88","0.9484126984126984","0.9484126984126984","0.9484126984126984","0.9409722222222221","0.9409722222222221","0.9409722222222221","0.891468253968254","0.891468253968254","0.891468253968254"
"89","0.988095238095238","0.988095238095238","0.988095238095238","0.5987764550264549","0.5987764550264549","0.5987764550264549","0.9003156565656566","0.9003156565656566","0.9003156565656566"
"90","0.9761904761904762","0.9761904761904762","0.9761904761904762","0.8574074074074074","0.8574074074074074","0.8574074074074074","0.3763888888888889","0.3763888888888889","0.3763888888888889"
"91","0.9742063492063492","0.9742063492063492","0.9742063492063492","0.8846079846079845","0.8846079846079845","0.8846079846079845","0.9464285714285715","0.9464285714285715","0.9464285714285715"
"92","1","1","1","0.8324074074074074","0.8324074074074074","0.8324074074074074","0.8485449735449735","0.8485449735449735","0.8485449735449735"
"93","0.8912698412698412","0.8912698412698412","0.8912698412698412","0.7798611111111111","0.7798611111111111","0.7798611111111111","0.44375","0.44375","0.44375"
"94","0.8410714285714286","0.8410714285714286","0.8410714285714286","0.9354166666666666","0.9354166666666666","0.9354166666666666","0.9513888888888888","0.9513888888888888","0.9513888888888888"
"95","0.9513888888888888","0.9513888888888888","0.9513888888888888","0.9375000000000001","0.9375000000000001","0.9375000000000001","0.43214285714285716","0.43214285714285716","0.43214285714285716"
"96","0.9999999999999999","0.9999999999999999","0.9999999999999999","1","1","1","0.8291666666666666","0.8291666666666666","0.8291666666666666"
"97","1","1","1","1","1","1","0.8412698412698413","0.8412698412698413","0.8412698412698413"
"98","0.9061507936507937","0.9061507936507937","0.9061507936507937","0.8263888888888888","0.8263888888888888","0.8263888888888888","0.7513888888888888","0.7513888888888888","0.7513888888888888"
"99","0.9742063492063492","0.9742063492063492","0.9742063492063492","0.9037698412698412","0.9037698412698412","0.9037698412698412","0.9742063492063492","0.9742063492063492","0.9742063492063492"
"100","0.9500000000000001","0.9500000000000001","0.9500000000000001","0.8543650793650792","0.8543650793650792","0.8543650793650792","0.3698611111111111","0.3698611111111111","0.3698611111111111"